room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,name,latitude,longitude,last_modified
11552906,56498733,Entire home/apt,,7,23,5,4,2,159,,New 2/2 Apartment Downtown Dadeland,25.687668,-80.313637,11:57.5
17956348,123221655,Entire home/apt,,7,0,0,12,5,850,,Beautiful mansion in private enclave,25.711065,-80.250564,11:57.5
8986480,11913948,Entire home/apt,,7,8,4.5,6,3,420,,Peacock Jungle Paradise House,25.720734,-80.25683,11:57.4
13531484,42918146,Entire home/apt,,7,0,0,6,3,199,,University of Miami special.,25.717793,-80.284813,11:57.4
17980330,123513463,Entire home/apt,,7,0,0,7,2,150,,Dr. Results' House of Health and Beauty.,25.7038,-80.298221,11:55.6
12063578,52249121,Entire home/apt,,7,2,0,7,3,180,,South Miami retreat. Pool + BBQ,25.694175,-80.289478,11:55.5
16451096,25451419,Entire home/apt,,7,4,5,12,5,500,,Coral Gables/ 5 bedroom Luxury Family House w/pool,25.693208,-80.290523,11:55.5
9107321,47462741,Entire home/apt,,7,2,0,6,3,200,,Coral Gables area home with pool,25.693952,-80.297603,11:55.5
14631431,9229836,Entire home/apt,,7,14,5,8,4,250,,Beautiful home in great location in Coral Gables!,25.706597,-80.275545,11:55.5
8589031,4126771,Entire home/apt,,7,0,0,8,2,260,,South Miami Oasis,25.720579,-80.301294,11:55.5
11409829,13128920,Entire home/apt,,7,0,0,6,2,250,,Unique Tropical Miami Sanctuary.,25.717835,-80.296268,11:55.5
17404774,42593703,Entire home/apt,,7,0,0,12,5,385,,5 bedroom house with pool in Miami,25.714491,-80.317454,11:55.5
18408661,127545323,Entire home/apt,,7,0,0,8,3,250,,Lovely 3-BR Apartment,25.703696,-80.309235,11:54.1
4463091,34826749,Entire home/apt,,7,21,4.5,2,1,170,,Miami Teak Tropical Home &  Zen Garden,25.72257,-80.249626,11:54.1
15532332,23684981,Entire home/apt,,7,2,0,10,4,250,,Waterfront Home - Great view of July 4th Fireworks,25.713306,-80.298137,11:54.1
10969634,56910234,Entire home/apt,,7,1,0,7,3,285,,Golfers Paradise! Beautiful Home Centrally Located,25.722088,-80.288975,11:54.1
17584972,100368579,Entire home/apt,,7,0,0,5,2,240,,Beautiful Pool House,25.714043,-80.29838,11:54.1
12010275,1272850,Entire home/apt,,7,9,4.5,6,3,250,,Luxury home in Coconut Groove,25.708362,-80.259054,11:54.1
18947301,130053840,Entire home/apt,,7,0,0,10,5,1050,,"Waterfront Villa ""Taïna""",25.707489,-80.275629,11:54.1
18304898,1482360,Entire home/apt,,7,0,0,5,2,149,,East Kendall New Building 2/2,25.688197,-80.316893,11:51.0
17651365,43945988,Entire home/apt,,7,0,0,5,0,150,,Executive Studio at Dadeland,25.687995,-80.316596,11:51.0
4661884,24122600,Entire home/apt,,7,2,0,2,1,150,,Nice 1 bedroom in heart of grove,25.731338,-80.241726,11:51.0
13637229,75398849,Entire home/apt,,7,0,0,4,1,149,,1Bedroom Suite  @ The Mutiny Hotel.,25.727535,-80.239274,11:51.0
2445293,1221555,Entire home/apt,,7,41,5,4,2,125,,Coconut Grove Cottage,25.714918,-80.255738,11:49.8
18137222,71531260,Entire home/apt,,7,0,0,2,1,99,,"1br apt, 5 mins from Metrorail",25.685791,-80.313158,11:49.7
17875037,43945988,Entire home/apt,,7,1,0,3,0,100,,Modern Studio Apartment at Dadeland Mall,25.687148,-80.316584,11:48.2
17874267,43945988,Entire home/apt,,7,0,0,3,0,100,,Luxurious Studio at Dadeland,25.686737,-80.315299,11:48.2
6673445,34826749,Entire home/apt,,7,26,4.5,4,1,147,,"Romantic Hidaway  location,location",25.724823,-80.251599,11:48.2
17694142,1482360,Entire home/apt,,7,2,0,5,2,139,,Dadeland Mall Lux 2/2,25.686622,-80.315025,11:48.2
4773138,15854351,Entire home/apt,,7,28,5,2,0,127,,The CoCo CABANA  in coconut grove,25.71978,-80.251478,11:48.1
12018282,10910251,Entire home/apt,,7,7,4.5,4,2,99,,GREAT 2 BEDROOM APART BY UNIVERSITY,25.728284,-80.303677,11:47.0
9253566,42593703,Entire home/apt,,7,0,0,3,1,125,,Full kitchen guest house with pool,25.714607,-80.315819,11:47.0
12208477,65655694,Entire home/apt,,7,16,5,2,1,125,,Downtown Dadeland,25.687936,-80.313717,11:45.3
16541251,108849467,Entire home/apt,,7,0,0,4,2,135,,Spacious 2 bedroom condo near Dadeland,25.691114,-80.322928,11:43.7
10745945,55555618,Entire home/apt,,7,2,0,2,1,105,,South Miami Resort Style Apartment,25.706159,-80.291638,11:43.7
16916420,112959041,Entire home/apt,,7,0,0,2,1,115,,"Corporate Housing, Professionals",25.699884,-80.308263,11:43.7
17887656,121106852,Entire home/apt,,7,2,0,2,1,125,,kendall,25.688871,-80.309975,11:43.7
2274498,34826749,Entire home/apt,,7,84,5,2,0,130,,Miami Teak Tropical Studio &  Zen Garden,25.724903,-80.250655,11:42.5
18857509,92608288,Entire home/apt,,7,1,0,6,2,130,,entire 2/2.5+near UM+monthly discount,25.728438,-80.303778,11:42.5
16566687,75097668,Entire home/apt,,7,13,5,4,1,140,,The Peace house,25.705413,-80.328152,11:42.5
2781376,14111153,Entire home/apt,,7,5,5,6,3,115,,Modern yet welcoming 3br condo,25.729077,-80.30478,11:42.5
9727607,50200425,Entire home/apt,,7,13,4.5,3,1,119,,JUNE SPECIAL-GUEST HOUSE IN HEART OF MIAMI-frm $99,25.704117,-80.319074,11:42.5
