room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
14731359,1192,54101222,Shared room,,Chicago,,Sheridan Park,8,4.5,2,1.0,,42.0,,2017-05-06 03:34:45.387282,41.964776,-87.661899,0101000020E610000054909F8D5CEA55C09CFBABC77DFB4440
17532498,1192,118909648,Shared room,,Chicago,,Marquette Park,0,0.0,3,1.0,,51.0,,2017-05-06 03:34:45.384493,41.760787,-87.688408,0101000020E610000081936DE00EEC55C0691CEA7761E14440
15125720,1192,31140816,Shared room,,Chicago,,Lathrop Homes,1,0.0,1,1.0,,55.0,,2017-05-06 03:34:45.381313,41.931963,-87.675046,0101000020E6100000EB5223F433EB55C0810A47904AF74440
17753985,1192,62474296,Shared room,,Chicago,,Near North,0,0.0,2,1.0,,50.0,,2017-05-06 03:34:44.424641,41.892922,-87.629257,0101000020E6100000DCF126BF45E855C080F0A1444BF24440
589939,1192,2885441,Shared room,,Chicago,,West Town,35,4.5,4,1.0,,46.0,,2017-05-06 03:34:44.422238,41.890492,-87.6626,0101000020E61000001895D40968EA55C0C1AC50A4FBF14440
7885822,1192,19135944,Shared room,,Chicago,,Lake View East,10,5.0,2,1.0,,41.0,,2017-05-06 03:34:44.410519,41.933684,-87.638548,0101000020E6100000473B6EF8DDE855C0346612F582F74440
12158686,1192,32237324,Shared room,,Chicago,,Lake View East,18,4.5,1,1.0,,45.0,,2017-05-06 03:34:44.405066,41.945218,-87.648192,0101000020E6100000D8614CFA7BE955C096CB46E7FCF84440
16332152,1192,57387860,Shared room,,Chicago,,Near North,0,0.0,1,1.0,,60.0,,2017-05-06 03:34:44.400169,41.891318,-87.628044,0101000020E6100000BD1C76DF31E855C0062B4EB516F24440
7382294,1192,37190091,Shared room,,Chicago,,Little Village,2,0.0,1,1.0,,45.0,,2017-05-06 03:34:44.396924,41.849634,-87.69939,0101000020E6100000904946CEC2EC55C0EBC891CEC0EC4440
5716097,1192,24341262,Shared room,,Chicago,,Gold Coast,12,5.0,1,1.0,,55.0,,2017-05-06 03:34:44.392722,41.899316,-87.62603,0101000020E6100000271422E010E855C0806264C91CF34440
14770773,1192,15883844,Shared room,,Chicago,,River North,33,5.0,4,1.0,,60.0,,2017-05-06 03:34:44.389605,41.889781,-87.635593,0101000020E61000004224438EADE855C014CD0358E4F14440
626296,1192,2885441,Shared room,,Chicago,,West Town,27,4.5,4,1.0,,43.0,,2017-05-06 03:34:44.387173,41.891189,-87.660914,0101000020E6100000FDDD3B6A4CEA55C008C72C7B12F24440
15694800,1192,3486589,Shared room,,Chicago,,Ukrainian Village,13,5.0,3,1.0,,50.0,,2017-05-06 03:34:44.384214,41.89835,-87.677806,0101000020E610000016C26A2C61EB55C0492EFF21FDF24440
14632053,1192,7689661,Shared room,,Chicago,,Kenwood,18,5.0,3,1.0,,45.0,,2017-05-06 03:34:44.381255,41.803971,-87.596566,0101000020E6100000F4F928232EE655C059F78F85E8E64440
14054966,1192,64582798,Shared room,,Chicago,,Little Village,20,4.5,1,1.0,,49.0,,2017-05-06 03:34:44.376510,41.845316,-87.722717,0101000020E6100000D9D0CDFE40EE55C08C648F5033EC4440
8273329,1192,41690970,Shared room,,Chicago,,Rogers Park,3,4.0,3,1.0,,37.0,,2017-05-06 03:34:42.843772,42.006337,-87.671078,0101000020E61000002AC423F1F2EA55C09CE09BA6CF004540
17894635,1192,55995449,Shared room,,Chicago,,Avondale,0,0.0,3,1.0,,40.0,,2017-05-06 03:34:42.841317,41.945046,-87.707451,0101000020E610000071218FE046ED55C0999B6F44F7F84440
13999202,1192,41690970,Shared room,,Chicago,,Rogers Park,1,0.0,1,1.0,,35.0,,2017-05-06 03:34:42.835707,42.006565,-87.670271,0101000020E6100000431D56B8E5EA55C02D26361FD7004540
15343136,1192,59931531,Shared room,,Chicago,,Lake View,0,0.0,2,1.0,,40.0,,2017-05-06 03:34:42.827701,41.946734,-87.651766,0101000020E610000043A9BD88B6E955C0710168942EF94440
15045268,1192,94987176,Shared room,,Chicago,,Lake View East,0,0.0,2,1.0,,39.0,,2017-05-06 03:34:42.825248,41.93876,-87.642451,0101000020E61000001492CCEA1DE955C08065A54929F84440
9269658,1192,48147127,Shared room,,Chicago,,Logan Square,5,5.0,2,1.0,,40.0,,2017-05-06 03:34:42.822201,41.912239,-87.709522,0101000020E6100000B972F6CE68ED55C060915F3FC4F44440
6807789,1192,2907254,Shared room,,Chicago,,West Rogers Park,6,4.5,1,1.0,,25.0,,2017-05-06 03:34:41.564460,42.017417,-87.688257,0101000020E61000008E8F16670CEC55C07DB262B83A024540
17925617,1192,63311391,Shared room,,Chicago,,Uptown,0,0.0,1,1.0,,40.0,,2017-05-06 03:34:41.561732,41.974153,-87.655094,0101000020E61000009373620FEDE955C07026A60BB1FC4440
13374561,1192,56935298,Shared room,,Chicago,,Bridgeport,2,0.0,1,1.0,,36.0,,2017-05-06 03:34:41.555002,41.838412,-87.634134,0101000020E610000007D2C5A695E855C077499C1551EB4440
8484777,1192,11344466,Shared room,,Chicago,,West Rogers Park,0,0.0,4,1.0,,18.0,,2017-05-06 03:34:41.551184,42.012833,-87.703386,0101000020E6100000B69DB64604ED55C0A0A70183A4014540
18339858,1192,35653853,Shared room,,Chicago,,Rogers Park,0,0.0,1,1.0,,15.0,,2017-05-06 03:34:41.547155,42.014837,-87.667376,0101000020E6100000A988D349B6EA55C0A8E2C62DE6014540
6764230,1192,35411575,Shared room,,Chicago,,Washington Park,12,5.0,1,1.0,,35.0,,2017-05-06 03:34:41.540377,41.786322,-87.622369,0101000020E6100000D542C9E4D4E755C00A100533A6E44440
4924606,1192,25365761,Shared room,,Chicago,,Lake View East,14,4.0,2,1.0,,30.0,,2017-05-06 03:34:41.537674,41.943274,-87.644067,0101000020E6100000B45BCB6438E955C06495D233BDF84440
7323651,1192,38339318,Shared room,,Chicago,,Lake View East,0,0.0,1,1.0,,40.0,,2017-05-06 03:34:41.534815,41.948749,-87.646843,0101000020E610000061A92EE065E955C06D8E739B70F94440
18524534,1192,126979251,Shared room,,Chicago,,Uptown,0,0.0,1,1.0,,19.0,,2017-05-06 03:34:41.526825,41.969684,-87.655233,0101000020E6100000A3906456EFE955C02CBAF59A1EFC4440
7735577,1192,36300208,Shared room,,Chicago,,Belmont Gardens,5,5.0,1,1.0,,30.0,,2017-05-06 03:34:40.085319,41.934965,-87.728418,0101000020E610000056F487669EEE55C0CBF3E0EEACF74440
17617260,1192,87491745,Shared room,,Chicago,,Uptown,0,0.0,2,1.0,,33.0,,2017-05-06 03:34:40.083071,41.973669,-87.656271,0101000020E61000000C94145800EA55C08410902FA1FC4440
1475647,1192,2907254,Shared room,,Chicago,,West Rogers Park,56,4.5,1,1.0,,25.0,,2017-05-06 03:34:40.080306,42.017013,-87.687183,0101000020E610000080D767CEFAEB55C0AD4D637B2D024540
17680767,1192,2907254,Shared room,,Chicago,,Margate Park,1,0.0,1,1.0,,25.0,,2017-05-06 03:34:40.071781,41.972056,-87.654338,0101000020E6100000ECA17DACE0E955C0B7F0BC546CFC4440
4067570,1192,2907254,Shared room,,Chicago,,West Rogers Park,90,4.5,2,1.0,,30.0,,2017-05-06 03:34:40.069055,42.0169,-87.689048,0101000020E6100000F357C85C19EC55C0B5A679C729024540
3742513,1192,2907254,Shared room,,Chicago,,West Rogers Park,55,4.5,2,1.0,,23.0,,2017-05-06 03:34:40.066017,42.017103,-87.68847,0101000020E6100000BC9179E40FEC55C0EDD45C6E30024540
14126662,1192,2907254,Shared room,,Chicago,,Margate Park,20,4.5,1,1.0,,21.0,,2017-05-06 03:34:40.063032,41.972507,-87.654736,0101000020E6100000E3E0D231E7E955C0C710001C7BFC4440
13978463,1192,2907254,Shared room,,Chicago,,Uptown,25,4.5,1,1.0,,20.0,,2017-05-06 03:34:40.059976,41.972037,-87.656472,0101000020E610000057AF22A303EA55C040C05AB56BFC4440
6039038,1192,2907254,Shared room,,Chicago,,West Rogers Park,52,4.5,2,1.0,,20.0,,2017-05-06 03:34:40.057114,42.017139,-87.688081,0101000020E6100000EFFFE38409EC55C03A3E5A9C31024540
5569521,1192,2907254,Shared room,,Chicago,,West Rogers Park,63,4.5,2,1.0,,30.0,,2017-05-06 03:34:40.054523,42.015551,-87.687618,0101000020E61000000589EDEE01EC55C0C6353E93FD014540
1461451,1192,2907254,Shared room,,Chicago,,West Rogers Park,109,4.5,1,1.0,,25.0,,2017-05-06 03:34:40.048669,42.015898,-87.688268,0101000020E610000088B839950CEC55C0310917F208024540
4365466,1192,2907254,Shared room,,Chicago,,West Rogers Park,58,4.5,2,1.0,,24.0,,2017-05-06 03:34:40.041220,42.015383,-87.688761,0101000020E6100000A87004A914EC55C00AF5F411F8014540
18350616,1192,7689661,Shared room,,Chicago,,Englewood,0,0.0,2,1.0,,13.0,,2017-05-06 03:34:40.037590,41.78935,-87.634114,0101000020E6100000E3FBE25295E855C07E8CB96B09E54440
12222012,1192,65679648,Shared room,,Chicago,,Heart of Chicago,22,4.5,1,1.0,,15.0,,2017-05-06 03:34:38.453810,41.853717,-87.683263,0101000020E610000047E4BB94BAEB55C00685419946ED4440
12211684,1192,65679648,Shared room,,Chicago,,Heart of Chicago,49,4.5,1,1.0,,15.0,,2017-05-06 03:34:38.450584,41.853191,-87.682631,0101000020E6100000170FEF39B0EB55C0EB1ED95C35ED4440
12192041,1192,65679648,Shared room,,Chicago,,Heart of Chicago,65,4.5,1,1.0,,15.0,,2017-05-06 03:34:38.446874,41.853163,-87.683138,0101000020E6100000E9297288B8EB55C02194F77134ED4440
12222103,1192,65679648,Shared room,,Chicago,,Heart of Chicago,73,4.5,1,1.0,,15.0,,2017-05-06 03:34:38.444857,41.854923,-87.682901,0101000020E6100000F75965A6B4EB55C092CCEA1D6EED4440
14649120,1192,87491745,Shared room,,Chicago,,Uptown,11,5.0,1,1.0,,17.0,,2017-05-06 03:34:38.440917,41.972051,-87.656195,0101000020E61000001E335019FFE955C0A585CB2A6CFC4440
11902507,1192,63490400,Entire home/apt,,Chicago,,Portage Park,41,5.0,5,2.0,,79.0,,2017-05-06 03:14:08.158408,41.953851,-87.779969,0101000020E610000034B91803EBF155C0E22021CA17FA4440
14335936,1192,7871642,Entire home/apt,,Chicago,,East Ukrainian Village,12,5.0,4,1.0,,71.0,,2017-05-06 03:13:56.679930,41.898192,-87.667762,0101000020E6100000BDE0D39CBCEA55C0B1C398F4F7F24440
1648535,1192,1837370,Entire home/apt,,Chicago,,Rogers Park,43,4.5,6,2.0,,55.0,,2017-05-06 03:13:55.269845,42.01599,-87.669013,0101000020E610000054E6E61BD1EA55C01288D7F50B024540
15336071,1192,38459530,Entire home/apt,,Chicago,,Bridgeport,6,4.5,8,4.0,,45.0,,2017-05-06 03:13:54.344559,41.845998,-87.632768,0101000020E6100000247D5A457FE855C09F3D97A949EC4440
10404678,1192,53574774,Entire home/apt,,Chicago,,Bridgeport,36,4.5,7,3.0,,50.0,,2017-05-06 03:13:54.326310,41.846183,-87.633912,0101000020E6100000AF22A30392E855C031B77BB94FEC4440
16687225,1192,21109849,Entire home/apt,,Chicago,,Old Town Triangle,23,5.0,4,1.0,,49.0,,2017-05-06 03:13:52.794978,41.912571,-87.636193,0101000020E61000006D3CD862B7E855C096236420CFF44440
8581657,1192,315355,Entire home/apt,,Chicago,,Little Village,48,4.5,8,3.0,,48.0,,2017-05-06 03:13:52.776394,41.846149,-87.718023,0101000020E6100000A7B1BD16F4ED55C08445459C4EEC4440
